CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,ReturnFrequency,ReturnQuantity,ReturnAmount,ReturnRate,MonthlyPurchaseAmount,TopCategory,TopCategorySpend,Country,TotalQuantity,PurchaseFrequencyPerMonth,CustomerAge,LifetimeValue,LifetimeFrequency,IsLoyal,IsFrequentBuyer,TopCategory_Encoded,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,FinalCluster
12346,326,2,0.0,0.0,1.0,74215.0,77183.6,0.0,0.0,Storage,0.0,United Kingdom,0,0.16666666666666666,0,0.0,2,0,0,10,0,3,0,0
12347,2,7,4310.0,23.681318681318682,0.0,0.0,0.0,0.0,359.1666666666667,Electronics,867.24,Iceland,2458,0.5833333333333334,365,4310.0,7,0,0,3,3,3,0,3
12348,75,4,1797.24,57.97548387096774,0.0,0.0,0.0,0.0,149.77,Other,784.92,Finland,2341,0.3333333333333333,282,1797.24,4,0,0,7,3,3,0,3
12349,19,1,1757.55,24.076027397260273,0.0,0.0,0.0,0.0,146.4625,Kitchen,651.95,Italy,631,0.08333333333333333,0,1757.55,1,0,0,6,0,3,0,0
12350,310,1,334.4,19.670588235294115,0.0,0.0,0.0,0.0,27.866666666666664,Stationery,89.8,Norway,197,0.08333333333333333,0,334.4,1,0,0,9,0,3,0,0
12352,36,11,1545.41,16.267473684210525,3.0,66.0,960.6300000000001,0.6216020344115801,128.78416666666666,Kitchen,534.98,Norway,470,0.9166666666666666,260,1545.41,11,1,0,6,1,1,-1,1
12353,204,1,89.0,22.25,0.0,0.0,0.0,0.0,7.416666666666667,Kitchen,89.0,Bahrain,20,0.08333333333333333,0,89.0,1,0,0,6,0,3,0,0
12354,232,1,1079.4,18.610344827586207,0.0,0.0,0.0,0.0,89.95,Kitchen,324.26,Spain,530,0.08333333333333333,0,1079.4,1,0,0,6,0,3,0,0
12355,214,1,459.4,35.33846153846154,0.0,0.0,0.0,0.0,38.28333333333333,Other,195.0,Bahrain,240,0.08333333333333333,0,459.4,1,0,0,7,0,3,0,0
12356,23,3,2811.43,47.65135593220339,0.0,0.0,0.0,0.0,234.28583333333333,Kitchen,1560.3899999999999,Portugal,1591,0.25,302,2811.43,3,0,0,6,0,3,0,0
12357,33,1,6207.67,47.38679389312977,0.0,0.0,0.0,0.0,517.3058333333333,Kitchen,2542.98,Switzerland,2708,0.08333333333333333,0,6207.67,1,0,0,6,3,3,0,3
12358,2,2,1168.06,61.47684210526315,0.0,0.0,0.0,0.0,97.33833333333332,Other,785.4000000000001,Austria,248,0.16666666666666666,149,1168.06,2,0,0,7,0,3,0,0
12359,8,6,6182.9800000000005,24.63338645418327,2.0,10.0,127.05,0.020548344002406606,515.2483333333333,Kitchen,1320.03,Cyprus,1599,0.5,323,6182.9800000000005,6,0,0,6,3,3,-1,3
12360,52,3,2662.06,20.63612403100775,0.0,0.0,0.0,0.0,221.83833333333334,Toys,492.1,Austria,1165,0.25,148,2662.06,3,0,0,12,0,3,0,0
12361,287,1,189.9,18.990000000000002,0.0,0.0,0.0,0.0,15.825000000000001,Storage,102.0,Belgium,91,0.08333333333333333,0,189.9,1,0,0,10,0,3,0,0
12362,3,13,5154.58,18.812335766423356,3.0,17.0,71.65,0.013900259574979923,429.54833333333335,Kitchen,941.1,Belgium,2212,1.0833333333333333,292,5154.58,13,1,1,6,3,0,0,3
